"Prov_Name","median","low","high"
"CENTRAL",26242.992382,22646.470548,30631.069218
"CENTRAL BOUGAINVILLE",14963.912612,11345.395034,18919.50526
"CHIMBU (SIMBU)",36395.819066,34500.985248,38352.406374
"EAST NEW BRITAIN",31111.617894,25974.562912,36889.485796
"EAST SEPIK",47260.17734,39841.792242,57187.86159
"EASTERN HIGHLANDS",48341.099512,44592.20887,52393.638004
"ENGA",36786.700568,31415.143268,43407.884446
"GULF",14339.07617,12249.347576,16751.111144
"HELA",53403.87028,45707.367938,62471.746312
"JIWAKA",31188.248932,28481.480304,34253.574712
"MADANG",56874.92072,52942.680452,61404.815878
"MANUS",5173.628178,2829.766826,8537.340678
"MILNE BAY",53939.150684,42302.632236,70482.291744
"MOROBE",74474.026662,62369.429854,85292.147014
"NATIONAL CAPITAL DISTRICT",27713.587882,23278.364484,33096.557316
"NEW IRELAND",16856.780152,13427.645206,21036.642536
"NORTH BOUGAINVILLE",15197.984216,12863.8815,17869.287592
"NORTHERN (ORO)",20626.937326,16831.176064,24912.700178
"SOUTH BOUGAINVILLE",14406.851864,10857.842048,18320.821582
"SOUTHERN HIGHLANDS",64670.784402,56512.043196,73134.769866
"WEST NEW BRITAIN",25737.010494,24517.577714,27002.07304
"WEST SEPIK",29663.122494,26910.351012,32526.970818
"WESTERN",22886.511504,19094.724904,26994.090186
"WESTERN HIGHLANDS",35205.171674,31359.603436,39488.71295
"NATIONAL TOTAL",803459.983008,692852.472872,931357.504234
